level,id,rank,rank_name,from_id,to_id,path_len,cells
1,3,1,minor,1,2,5,3
1,5,1,minor,2,4,7,5
1,7,1,minor,2,6,7,5
2,3,1,minor,1,2,9,7
2,5,1,minor,2,4,5,3
2,7,1,minor,2,6,4,2
3,3,2,secondary,1,2,6,12
3,5,2,secondary,1,4,12,22
3,7,1,minor,4,6,7,5
3,63,1,minor,3,62,5,3
3,65,2,secondary,1,64,14,29
3,67,1,minor,65,66,5,3
3,69,1,minor,65,68,5,3
4,3,2,secondary,1,2,6,9
4,5,2,secondary,1,4,6,9
4,7,1,minor,4,6,4,2
4,53,2,secondary,1,52,5,7
4,55,1,minor,52,54,7,5
4,57,1,minor,52,56,5,3
4,60,1,minor,5,59,8,6
4,61,2,secondary,2,59,7,10
5,3,2,secondary,1,2,9,22
5,5,2,secondary,1,4,9,17
5,7,2,secondary,1,6,9,21
5,9,2,secondary,4,8,4,6
5,11,1,minor,8,10,8,6
5,56,1,minor,3,55,3,1
5,98,1,minor,10,97,8,6
5,100,2,secondary,6,99,3,4
5,102,2,secondary,2,101,7,16
5,104,1,minor,101,103,5,3
6,3,3,main,1,2,6,14
6,5,2,secondary,2,4,9,18
6,7,3,main,1,6,7,19
6,9,2,secondary,6,8,9,15
6,11,1,minor,8,10,7,5
6,13,1,minor,8,12,4,2
6,15,1,minor,7,14,6,4
6,18,1,minor,14,17,6,4
6,20,2,secondary,2,19,8,13
6,22,1,minor,14,21,4,2
6,23,2,secondary,2,17,3,2
6,24,1,minor,12,10,10,8
7,3,3,main,1,2,9,23
7,5,3,main,1,4,17,48
7,7,3,main,1,6,7,17
7,9,3,main,1,8,20,57
7,12,2,secondary,8,11,16,30
7,14,1,minor,11,13,5,3
7,33,1,minor,13,32,9,7
7,35,1,minor,13,34,5,3
7,37,1,minor,3,36,8,6
7,39,1,minor,12,38,3,1
7,41,1,minor,34,40,5,3
7,43,2,secondary,8,42,12,20
8,3,3,main,1,2,14,50
8,7,3,main,2,6,12,32
8,9,3,main,1,8,18,60
8,11,3,main,1,10,18,67
8,13,2,secondary,8,12,17,37
8,15,2,secondary,10,14,7,10
8,17,1,minor,14,16,4,2
8,21,1,minor,14,20,5,3
8,23,1,minor,7,22,7,5
8,25,1,minor,7,24,6,4
8,27,1,minor,3,26,5,3
8,29,1,minor,13,28,4,2
8,31,1,minor,15,30,7,5
9,3,3,main,1,2,6,13
9,5,3,main,2,4,10,42
9,20,3,main,2,19,19,51
9,34,3,main,2,33,10,24
9,80,3,main,1,79,18,50
9,158,3,main,1,157,6,23
9,160,2,secondary,19,159,6,8
9,162,1,minor,159,161,7,5
9,164,1,minor,159,163,6,4
9,166,1,minor,158,165,5,3
9,168,1,minor,34,167,5,3
9,170,2,secondary,4,169,9,21
9,172,1,minor,167,171,6,4
9,174,1,minor,160,173,8,6
9,176,1,minor,80,175,6,4
10,3,3,main,1,2,12,55
10,6,3,main,1,5,12,34
10,9,3,main,2,8,21,62
10,130,3,main,2,129,8,30
10,132,2,secondary,129,131,5,7
10,134,2,secondary,8,133,9,22
10,136,2,secondary,5,135,9,17
10,138,1,minor,135,137,5,3
10,140,1,minor,135,139,8,6
10,142,1,minor,136,141,5,3
10,144,1,minor,6,143,7,5
10,151,2,secondary,133,150,13,22
10,153,1,minor,143,152,5,3
10,155,1,minor,139,154,6,4
10,157,1,minor,6,156,6,4
10,158,2,secondary,150,8,13,28
