level,sheet,owner_sheet,width,height,seed,rooms,corridors,forks,links,stair_up_x,stair_up_y,stair_down_x,stair_down_y
1,level_01.csv,level_01_owner.csv,26,19,20260813,4,3,0,6,4,14,21,9
2,level_02.csv,level_02_owner.csv,26,23,20260813,4,3,0,6,21,10,4,4
3,level_03.csv,level_03_owner.csv,37,32,20260813,7,7,1,14,18,25,16,3
4,level_04.csv,level_04_owner.csv,32,26,20260813,7,8,1,16,14,8,7,21
5,level_05.csv,level_05_owner.csv,51,52,20260813,10,10,1,20,19,16,13,47
6,level_06.csv,level_06_owner.csv,38,41,20260813,10,12,1,24,20,24,19,3
7,level_07.csv,level_07_owner.csv,48,52,20260813,12,12,2,24,29,19,4,43
8,level_08.csv,level_08_owner.csv,50,63,20260813,13,13,1,26,5,23,44,31
9,level_09.csv,level_09_owner.csv,70,59,20260813,15,15,1,30,26,35,65,35
10,level_10.csv,level_10_owner.csv,48,84,20260813,15,16,1,32,10,60,20,6
