level,a,b,kind
1,3,1,portal
1,3,2,portal
1,5,2,portal
1,5,4,portal
1,7,2,portal
1,7,6,portal
2,3,1,portal
2,3,2,portal
2,5,2,portal
2,5,4,portal
2,7,2,portal
2,7,6,portal
3,3,1,portal
3,3,2,portal
3,5,1,portal
3,5,4,fork
3,7,4,fork
3,7,6,portal
3,63,3,junction
3,63,62,portal
3,65,1,portal
3,65,64,portal
3,67,65,junction
3,67,66,portal
3,69,65,junction
3,69,68,portal
4,3,1,portal
4,3,2,portal
4,5,1,portal
4,5,4,fork
4,7,4,fork
4,7,6,portal
4,53,1,portal
4,53,52,portal
4,55,52,portal
4,55,54,portal
4,57,52,portal
4,57,56,portal
4,60,5,junction
4,60,59,portal
4,61,2,portal
4,61,59,portal
5,3,1,portal
5,3,2,portal
5,5,1,portal
5,5,4,portal
5,7,1,portal
5,7,6,portal
5,9,4,portal
5,9,8,fork
5,11,8,fork
5,11,10,portal
5,56,3,junction
5,56,55,portal
5,98,10,portal
5,98,97,portal
5,100,6,portal
5,100,99,portal
5,102,2,portal
5,102,101,portal
5,104,101,portal
5,104,103,portal
6,3,1,portal
6,3,2,portal
6,5,2,portal
6,5,4,portal
6,7,1,portal
6,7,6,portal
6,9,6,portal
6,9,8,fork
6,11,8,fork
6,11,10,portal
6,13,8,fork
6,13,12,portal
6,15,7,junction
6,15,14,portal
6,18,14,portal
6,18,17,portal
6,20,2,portal
6,20,19,portal
6,22,14,portal
6,22,21,portal
6,23,2,portal
6,23,17,portal
6,24,12,portal
6,24,10,portal
7,3,1,portal
7,3,2,portal
7,5,1,portal
7,5,4,portal
7,7,1,portal
7,7,6,portal
7,9,1,portal
7,9,8,portal
7,12,8,portal
7,12,11,fork
7,14,11,fork
7,14,13,portal
7,33,13,portal
7,33,32,portal
7,35,13,portal
7,35,34,portal
7,37,3,junction
7,37,36,portal
7,39,12,junction
7,39,38,portal
7,41,34,portal
7,41,40,portal
7,43,8,portal
7,43,42,portal
8,3,1,portal
8,3,2,portal
8,7,2,portal
8,7,6,portal
8,9,1,portal
8,9,8,portal
8,11,1,portal
8,11,10,portal
8,13,8,portal
8,13,12,portal
8,15,10,portal
8,15,14,fork
8,17,14,fork
8,17,16,portal
8,21,14,fork
8,21,20,portal
8,23,7,junction
8,23,22,portal
8,25,7,junction
8,25,24,portal
8,27,3,junction
8,27,26,portal
8,29,13,junction
8,29,28,portal
8,31,15,junction
8,31,30,portal
9,3,1,portal
9,3,2,portal
9,5,2,portal
9,5,4,portal
9,20,2,portal
9,20,19,portal
9,34,2,portal
9,34,33,portal
9,80,1,portal
9,80,79,portal
9,158,1,portal
9,158,157,portal
9,160,19,portal
9,160,159,fork
9,162,159,fork
9,162,161,portal
9,164,159,fork
9,164,163,portal
9,166,158,junction
9,166,165,portal
9,168,34,junction
9,168,167,portal
9,170,4,portal
9,170,169,portal
9,172,167,portal
9,172,171,portal
9,174,160,junction
9,174,173,portal
9,176,80,junction
9,176,175,portal
10,3,1,portal
10,3,2,portal
10,6,1,portal
10,6,5,portal
10,9,2,portal
10,9,8,portal
10,130,2,portal
10,130,129,portal
10,132,129,portal
10,132,131,portal
10,134,8,portal
10,134,133,portal
10,136,5,portal
10,136,135,fork
10,138,135,fork
10,138,137,portal
10,140,135,fork
10,140,139,portal
10,142,136,junction
10,142,141,portal
10,144,6,junction
10,144,143,portal
10,151,133,portal
10,151,150,portal
10,153,143,portal
10,153,152,portal
10,155,139,portal
10,155,154,portal
10,157,6,junction
10,157,156,portal
10,158,150,portal
10,158,8,portal
