level,id,kind,shape,x0,y0,w,h,size_metric,cells
1,1,small,rect,41,34,5,5,5,25
1,2,small,square,49,33,4,4,4,16
1,4,small,rect,58,29,5,5,5,25
1,6,small,ellipse,45,24,4,4,4,12
2,1,small,rect,30,36,4,4,4,16
2,2,small,rect,20,37,3,5,5,15
2,4,small,square,12,29,5,5,5,25
2,6,small,circle,21,44,4,4,4,12
3,1,medium,square,59,48,8,8,8,64
3,2,medium,circle,71,41,8,8,8,52
3,6,small,circle,59,28,3,3,3,9
3,62,small,square,64,38,4,4,4,16
3,64,small,rect,51,36,3,3,3,9
3,66,small,ellipse,46,39,3,4,4,12
3,68,small,rect,46,44,3,5,5,15
4,1,medium,square,37,45,6,6,6,36
4,2,medium,ellipse,27,41,6,7,7,34
4,6,small,rect,31,59,4,4,4,16
4,52,small,rect,46,49,3,3,3,9
4,54,small,rect,40,53,3,5,5,15
4,56,small,rect,52,45,3,3,3,9
4,59,small,square,27,53,4,4,4,16
5,1,large,ellipse,53,61,10,10,10,80
5,2,medium,rect,69,75,8,8,8,64
5,4,medium,rect,40,69,6,7,7,42
5,6,medium,rect,69,51,8,8,8,64
5,10,small,rect,47,86,4,3,4,12
5,55,small,square,61,78,5,5,5,25
5,97,small,rect,50,95,3,4,4,12
5,99,small,square,78,59,4,4,4,16
5,101,small,ellipse,82,67,5,5,5,21
5,103,small,square,83,75,3,3,3,9
6,1,large,rect,63,51,8,8,8,64
6,2,medium,ellipse,60,41,7,6,7,34
6,4,medium,rect,74,35,8,8,8,64
6,6,medium,rect,52,58,6,6,6,36
6,10,small,rect,57,66,5,3,5,15
6,12,small,circle,69,61,5,5,5,21
6,14,small,rect,54,48,5,5,5,25
6,17,small,rect,54,39,5,5,5,25
6,19,small,ellipse,63,32,5,3,5,11
6,21,small,ellipse,48,51,4,4,4,12
7,1,large,rect,64,45,8,10,10,80
7,2,medium,rect,70,62,6,9,9,54
7,4,medium,ellipse,42,40,7,8,8,44
7,6,medium,square,68,32,8,8,8,64
7,8,medium,ellipse,40,52,6,9,9,42
7,13,small,ellipse,56,64,4,3,4,12
7,32,small,square,45,65,4,4,4,16
7,34,small,square,51,68,4,4,4,16
7,36,small,rect,79,56,5,4,5,20
7,38,small,rect,47,61,4,3,4,12
7,40,small,circle,47,75,5,5,5,21
7,42,small,rect,41,71,4,5,5,20
8,1,large,composite,59,77,9,6,11,48
8,2,large,ellipse,79,85,10,12,12,96
8,6,medium,ellipse,99,84,6,7,7,34
8,8,medium,composite,84,71,6,4,7,19
8,10,medium,square,71,99,6,6,6,36
8,12,medium,rect,66,58,6,9,9,54
8,16,small,rect,75,112,5,5,5,25
8,20,small,circle,63,110,5,5,5,21
8,22,small,rect,94,95,4,3,4,12
8,24,small,rect,95,79,4,4,4,16
8,26,small,circle,82,78,3,3,3,9
8,28,small,rect,86,62,4,4,4,16
8,30,small,rect,61,105,5,3,5,15
9,1,large,composite,73,62,7,7,10,34
9,2,large,composite,84,65,7,4,8,23
9,4,medium,ellipse,98,74,10,6,10,48
9,19,medium,rect,84,38,9,10,10,90
9,33,medium,rect,84,77,6,10,10,60
9,79,medium,square,51,58,6,6,6,36
9,157,medium,square,61,69,9,9,9,81
9,161,small,ellipse,75,33,3,4,4,12
9,163,small,ellipse,79,48,3,3,3,9
9,165,small,ellipse,75,76,3,3,3,9
9,167,small,square,79,74,3,3,3,9
9,169,small,circle,112,63,5,5,5,21
9,171,small,rect,77,81,3,4,4,12
9,173,small,ellipse,82,32,3,4,4,12
9,175,small,ellipse,66,53,4,4,4,12
10,1,large,composite,68,81,4,5,7,17
10,2,large,ellipse,82,62,12,13,13,124
10,5,medium,composite,81,85,4,5,8,18
10,8,medium,rect,90,36,7,7,7,49
10,129,medium,composite,93,80,5,7,8,24
10,131,medium,square,96,68,9,9,9,81
10,133,medium,ellipse,77,24,6,10,10,48
10,137,small,rect,83,99,5,5,5,25
10,139,small,rect,68,94,4,4,4,16
10,141,small,circle,85,91,4,4,4,12
10,143,small,circle,74,92,3,3,3,9
10,150,small,ellipse,78,45,3,3,3,9
10,152,small,ellipse,67,88,4,4,4,12
10,154,small,rect,61,97,3,5,5,15
10,156,small,circle,81,77,3,3,3,9
